"Data","Otwarcie","Zamkniecie","Maks","Min","Obrot_mln_zl","z"
"2004-11-10",14.34,15.14,15.2,14.34,2780.4,0.0542874128378288
"2004-11-12",15.14,15.26,15.94,15.14,1049.56,0.00789477784700798
"2004-11-15",15.14,15.2,15.26,14.89,425.14,0.00395517984292759
"2004-11-16",15.14,15.14,15.2,15.08,193.24,0
"2004-11-17",15.14,15.14,15.2,15.02,159.51,0
"2004-11-18",15.14,15.14,15.2,15.08,88.77,0
"2004-11-19",15.2,15.02,15.2,15.02,147.74,-0.0119127815162421
"2004-11-22",14.95,14.89,15.02,14.71,178.14,-0.00402145314077806
"2004-11-23",14.83,14.83,14.89,14.71,171.37,0
"2004-11-24",14.83,14.83,14.83,14.71,153.23,0
"2004-11-25",14.83,15.26,15.26,14.83,138.17,0.0285828697064701
"2004-11-26",15.2,15.26,15.26,15.08,52.82,0.00393959800408039
"2004-11-29",15.2,15.33,15.33,15.14,113.18,0.00851626503149205
"2004-11-30",15.33,15.45,15.51,15.26,250.61,0.00779731046003196
"2004-12-01",15.26,15.57,15.57,15.2,124.23,0.0201109599895961
"2004-12-02",15.51,15.76,15.82,15.51,137.25,0.0159901072412856
"2004-12-03",15.76,15.82,15.82,15.63,138.63,0.00379987790977498
"2004-12-06",15.7,15.7,15.76,15.51,58.31,0
"2004-12-07",15.63,16,16,15.63,142.38,0.023396577806396
"2004-12-08",15.82,15.88,15.94,15.76,64.49,0.00378549347948187
"2004-12-09",15.76,15.7,15.82,15.63,43.14,-0.00381437207547064
"2004-12-10",15.63,15.76,15.88,15.63,121.72,0.00828293999634777
"2004-12-13",15.7,15.57,15.76,15.45,49.76,-0.00831472650835519
"2004-12-14",15.51,15.57,15.7,15.45,77.19,0.00386100865745975
"2004-12-15",15.51,15.51,15.63,15.45,43.44,0
"2004-12-16",15.51,15.7,15.76,15.45,67.65,0.0121757351658149
"2004-12-17",15.63,16.07,16.07,15.57,128.77,0.0277620353160359
