"nazwa","wojewodztwo","jednostka","wskaznik"
"gorzowski","lubuskie","powiat",61.33
"opoczyński","łódzkie","powiat",28.05
"grodziski","wielkopolskie","powiat",27.79
"kluczborski","opolskie","powiat",22.94
"bieszczadzki","podkarpackie","powiat",21.77
"rzeszowski","podkarpackie","powiat",17.03
"średzki","wielkopolskie","powiat",15.85
"lidzbarski","warmińsko-mazurskie","powiat",15.39
"wałbrzyski","dolnośląskie","powiat",13.95
"tczewski","pomorskie","powiat",13.24
"człuchowski","pomorskie","powiat",12.66
"opolski","lubelskie","powiat",11.88
"wodzisławski","śląskie","powiat",10.79
"łęczyński","lubelskie","powiat",9.96
"płoński","mazowieckie","powiat",9.71
"płocki","mazowieckie","powiat",8.98
"starachowicki","świętokrzyskie","powiat",8.8
"bartoszycki","warmińsko-mazurskie","powiat",8.41
"szamotulski","wielkopolskie","powiat",8.34
"bytowski","pomorskie","powiat",8.2
"stalowowolski","podkarpackie","powiat",7.84
"zduńskowolski","łódzkie","powiat",7.72
"limanowski","małopolskie","powiat",7.71
"obornicki","wielkopolskie","powiat",7.16
"międzyrzecki","lubuskie","powiat",6.89
"przasnyski","mazowieckie","powiat",6.49
"ostrołęcki","mazowieckie","powiat",6.32
"chełmski","lubelskie","powiat",6.23
"wołowski","dolnośląskie","powiat",6.12
"nyski","opolskie","powiat",5.79
"brzeski","małopolskie","powiat",5.67
"białobrzeski","mazowieckie","powiat",5.07
"żuromiński","mazowieckie","powiat",4.94
"zawierciański","śląskie","powiat",4.78
"nowotomyski","wielkopolskie","powiat",4.67
"szczycieński","warmińsko-mazurskie","powiat",4.56
"bialski","lubelskie","powiat",4.4
"wąbrzeski","kujawsko-pomorskie","powiat",4.2
"rycki","lubelskie","powiat",4.19
"sieradzki","łódzkie","powiat",4.06
"garwoliński","mazowieckie","powiat",4.06
"brodnicki","kujawsko-pomorskie","powiat",3.93
"lubański","dolnośląskie","powiat",3.88
"brzeski","opolskie","powiat",3.85
"włoszczowski","świętokrzyskie","powiat",3.76
"szczecinecki","zachodniopomorskie","powiat",3.64
"gołdapski","warmińsko-mazurskie","powiat",3.6
"oławski","dolnośląskie","powiat",3.54
"prudnicki","opolskie","powiat",3.46
"będziński","śląskie","powiat",3.36
"drawski","zachodniopomorskie","powiat",3.27
"polkowicki","dolnośląskie","powiat",3.26
"lubiński","dolnośląskie","powiat",3.23
"łukowski","lubelskie","powiat",3.01
"parczewski","lubelskie","powiat",2.75
"grudziądzki","kujawsko-pomorskie","powiat",2.57
"jarosławski","podkarpackie","powiat",2.51
"pajęczański","łódzkie","powiat",2.5
"słupecki","wielkopolskie","powiat",2.48
"goleniowski","zachodniopomorskie","powiat",2.36
"wyszkowski","mazowieckie","powiat",2.29
"sandomierski","świętokrzyskie","powiat",2.23
"białostocki","podlaskie","powiat",2.21
